name,ver,size,deps,reqBy,reason,installed,desc
"qoi","r350.4461cc3-1",19401,"","","1","1764210337","The “Quite OK Image Format” for fast, lossless image compression"
"ttf-hack-nerd","3.4.0-2",32245724,"","","","1769654416","Patched font Hack from nerd fonts library"
"patch","2.8-1",173785,"glibc attr","","1","1760804356","A utility to apply patch files to original sources"
"sudo","1.9.17.p2-2",8207329,"glibc openssl pam libldap zlib libcrypto.so=3-64 libssl.so=3-64","","","1768133969","Give certain users the ability to run some commands as root"
"gpm","1.20.7.r38.ge82d1a6-6",402835,"bash procps-ng","","1","1760799594","A mouse server for the console and xterm"
"libkexiv2","25.12.3-1",465229,"gcc-libs glibc exiv2 qt6-base","","1","1772802694","A library to manipulate pictures metadata"
"gettext","1.0-2",21804039,"acl attr curl glibc json-c libgcc libgomp libstdc++ gnulib-l10n libunistring libxml2 ncurses sh","","1","1771691677","GNU internationalization library"
"kcodecs","6.23.0-1",688785,"gcc-libs glibc qt6-base","","1","1771691677","Provide a collection of methods to manipulate strings using various encodings"
"trash-cli","0.24.5.26-3",869875,"python python-psutil python-six","","","1768133969","Command line trashcan (recycle bin) interface"
"libutempter","1.2.3-1",32053,"glibc","","1","1760765882","Interface for terminal emulators to record user sessions to utmp and wtmp files"
"coreutils","9.10-1",27612652,"acl attr glibc gmp libcap openssl","","1","1770468718","The basic file, shell and text manipulation utilities of the GNU operating system"
"xwayland-satellite","0.8.1-1",5507643,"gcc-libs glibc libxcb xcb-util-cursor xorg-xwayland","","","1772802695","Xwayland outside your Wayland"
"tinysparql","3.10.1-2",4039618,"avahi gcc-libs glib2 glibc icu json-glib libsoup3 libstemmer libxml2 sqlite","","1","1762820700","Low-footprint RDF triple store with SPARQL 1.1 interface"
"readline","8.3.003-1",1569425,"glibc libncursesw.so=6-64 ncurses","","1","1766455296","GNU readline library"
"libassuan","3.0.0-1",245206,"glibc libgpg-error sh","","1","1760765879","IPC library used by some GnuPG related software"
"fakeroot","1.37.2-1",145018,"glibc filesystem sed util-linux sh","","1","1769309371","Tool for simulating superuser privileges"
"kcompletion","6.23.0-1",417747,"gcc-libs glibc kcodecs kconfig kwidgetsaddons qt6-base","","1","1771691677","Text completion helpers and widgets"
"qt6-speech","6.10.2-1",593683,"gcc-libs glibc qt6-base qt6-multimedia","","1","1769908517","Qt Speech support"
"hyprland-guiutils","0.2.1-2",762311,"gcc-libs glibc hyprlang hyprtoolkit libhyprtoolkit.so=5-64 hyprutils libhyprutils.so=10-64 libdrm pixman","","1","1767444778","Hyprland GUI utilities"
"libmms","0.6.4-6",75270,"glibc","","1","1768657449","MMS stream protocol library"
"aws-c-event-stream","0.5.9-1",158235,"aws-c-common aws-c-io aws-checksums glibc","","1","1766961465","C99 implementation of the vnd.amazon.eventstream content-type"
"python-pip","26.0.1-1",17016763,"python python-attrs python-cryptography python-filelock python-wheel","","1","1770690753","The PyPA recommended tool for installing Python packages"
"libwacom","2.18.0-2",1644845,"glib2 libevdev libgudev glibc libgcc","","1","1771691677","Library to identify Wacom tablets and their features"
"libgcc","15.2.1+r604+g0b99615a8aef-1",181872,"glibc>=2.27","","1","1771691676","Low-level runtime library shipped by GCC"
"kdsingleapplication","1.2.0-1",78172,"gcc-libs glibc qt6-base","","1","1761449059","KDAB's helper class for single-instance policy applications"
"libseccomp","2.6.0-1",321068,"glibc","","1","1768133965","Enhanced seccomp library"
"chromium","145.0.7632.159-1",408729529,"gtk3 nss alsa-lib xdg-utils libxss libcups libgcrypt ttf-liberation systemd dbus libpulse pciutils libva libffi desktop-file-utils hicolor-icon-theme fontconfig brotli libjpeg-turbo flac libxml2 libwebp minizip opus harfbuzz libxslt freetype2","","","1772802694","A web browser built for speed, simplicity, and security"
"libxslt","1.1.45-2",817629,"bash glibc libgcrypt libxml2 xz","","1","1768133967","XML stylesheet transformation library"
"harfbuzz-icu","12.3.2-1",18070,"glibc harfbuzz icu libharfbuzz.so=0-64 libicuuc.so=78-64","","1","1769309371","OpenType text shaping engine - ICU integration"
"libde265","1.0.16-2",759519,"gcc-libs glibc","","1","1761447775","Open h.265 video codec implementation"
"flex","2.6.4-5",978590,"glibc m4 sh","","1","1760804355","A tool for generating text-scanning programs"
"python-keyutils","0.6-12",101974,"python keyutils","","1","1768133969","A set of python bindings for keyutils"
"libidn","1.43-1",895012,"glibc","","1","1763819152","Implementation of the Stringprep, Punycode and IDNA specifications"
"libpsl","0.21.5-2",228063,"libidn2 libunistring libidn2.so=0-64 libunistring.so=5-64","","1","1760765879","Public Suffix List library"
"lsof","4.99.6-1",381186,"glibc libtirpc","","","1772802694","Lists open files for running Unix processes"
"python-pycparser","2.23-2",3117278,"python","","1","1768133969","C parser and AST generator written in Python"
"gupnp","1:1.6.9-1",733416,"gcc-libs glib2 glibc gssdp libxml2 libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64 libgmodule-2.0.so=0-64 libgssdp-1.6.so=0-64 libsoup-3.0.so=0-64","","1","1760794778","GObject-based UPNP framework"
"libdvdnav","7.0.0-1",168562,"glibc libdvdread","","1","1761416032","Library to navigate DVD video disks"
"speexdsp","1.2.1-2",562214,"gcc-libs","","1","1760794778","DSP library derived from Speex"
"tpm2-tss","4.1.3-1",3427258,"curl json-c openssl libjson-c.so=5-64","","1","1760765879","Implementation of the TCG Trusted Platform Module 2.0 Software Stack (TSS2)"
"zip","3.0-11",572224,"bzip2","","1","1766376497","Compressor/archiver for creating and modifying zipfiles"
"m17n-lib","1.8.6-1",973991,"libxft m17n-db fribidi libthai libxml2 gd libotf","","1","1765251349","Multilingual text processing library (runtimes)"
"make","4.4.1-2",1749611,"glibc guile","","1","1760804356","GNU make utility to maintain groups of programs"
"syntax-highlighting","6.23.0-1",9051871,"gcc-libs glibc qt6-base","","1","1771691681","Syntax highlighting engine for structured text and code"
